Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
21	136.519325	-326.161463	-0.167382	202.900345	-304.364990	-0.079583	-14.609405	7.377584	321.885718	-7016.375975	21368.734493	-100.347144	-119.787305	-293.213524	-0.086997	-199.669022	-305.422272	-0.130892	12.968981	-2.468223	297.908920	3637.979789	-23797.330642	-1650.849447
22	136.624066	-325.202247	-0.167698	202.900345	-304.364990	-0.079583	-14.521295	7.466412	321.885805	-6707.732531	21335.063196	-6.868597	-119.612155	-293.097576	-0.086930	-199.669022	-305.422272	-0.130892	13.147091	-2.203362	295.071079	3637.455831	-23622.268851	-1502.221242
23	136.190053	-326.581442	-0.167664	202.900345	-304.364990	-0.079583	-14.605348	7.199788	319.761084	-7104.588529	21333.062522	48.345748	-120.233292	-293.674759	-0.087113	-199.669022	-305.422272	-0.130892	13.235028	-2.732797	298.263902	3504.734063	-23692.643568	-1632.378269
24	136.696895	-325.179350	-0.167601	202.900345	-304.364990	-0.079583	-14.255233	7.291193	322.240413	-6707.787743	21335.081491	30.332880	-119.906298	-292.618655	-0.087263	-199.669022	-305.422272	-0.130892	13.499744	-2.290003	297.909180	3815.157877	-23761.864159	-1594.998107
25	136.482980	-326.280322	-0.167377	202.900345	-304.364990	-0.079583	-13.898285	7.380334	320.116171	-7016.027989	21262.899530	29.910909	-120.062970	-293.413340	-0.087097	-199.669022	-305.422272	-0.130892	13.057245	-1.761216	295.425617	3548.523553	-23517.477279	-1465.137346
26	136.988002	-325.360668	-0.167080	202.900345	-304.364990	-0.079583	-14.168773	7.292342	323.657015	-6795.877014	21334.603354	-25.599977	-119.970754	-293.917547	-0.086877	-199.669022	-305.422272	-0.130892	12.792333	-2.380561	296.844606	3415.907860	-23657.813320	-1483.756734
27	136.335033	-325.911824	-0.167778	202.900345	-304.364990	-0.079583	-14.697441	7.376957	321.531461	-6928.577550	21404.551489	29.971035	-119.993075	-294.053575	-0.086845	-199.669022	-305.422272	-0.130892	12.880639	-2.203558	296.489865	3371.597358	-23622.978317	-1651.066225
28	136.149376	-325.731182	-0.168143	202.900345	-304.364990	-0.079583	-14.162163	7.025475	320.115954	-6840.171291	21369.681611	-7.082178	-119.572584	-293.943516	-0.086629	-199.669022	-305.422272	-0.130892	12.967656	-1.849190	297.553980	3416.342682	-23832.828392	-1483.699182
29	136.554258	-325.843441	-0.167486	202.900345	-304.364990	-0.079583	-14.429276	7.201042	320.469597	-6883.688259	21263.548122	-25.695357	-120.303251	-294.295388	-0.086952	-199.669022	-305.422272	-0.130892	12.612231	-1.672705	298.972655	3327.466820	-23728.055520	-1539.544344
30	136.808536	-325.589193	-0.167234	202.900345	-304.364990	-0.079583	-14.075399	6.761847	322.240940	-6839.810487	21299.084884	-7.046925	-119.785826	-293.808687	-0.086801	-199.669022	-305.422272	-0.130892	12.702941	-2.291983	297.908703	3460.613710	-23797.734669	-1539.441709
31	136.337136	-326.323130	-0.167573	202.900345	-304.364990	-0.079583	-13.810471	7.116358	321.532906	-7060.780227	21403.857154	-7.426398	-120.018988	-294.553218	-0.086697	-199.669022	-305.422272	-0.130892	12.880008	-2.291543	297.908809	3238.873410	-23728.306205	-1632.525986
32	136.258215	-325.455200	-0.168117	202.900345	-304.364990	-0.079583	-13.807917	7.027286	320.116478	-6752.039179	21334.911030	141.872048	-119.858406	-293.835989	-0.086836	-199.669022	-305.422272	-0.130892	12.613323	-2.026621	298.618035	3460.711814	-23832.742596	-1558.015888
33	137.315221	-325.358995	-0.166595	202.900345	-304.364990	-0.079583	-14.259141	7.645391	323.656708	-6795.308101	21228.679587	-44.147831	-120.164887	-293.715654	-0.087059	-199.669022	-305.422272	-0.130892	12.967252	-2.113959	299.327748	3504.983819	-23797.648871	-1613.758048
34	137.212367	-325.289836	-0.166782	202.900345	-304.364990	-0.079583	-14.162236	6.937274	320.470123	-6706.427143	21052.682966	86.276124	-120.234400	-293.228920	-0.087260	-199.669022	-305.422272	-0.130892	12.968549	-2.379657	298.263627	3637.674320	-23692.294919	-1576.541589
35	136.111865	-325.777991	-0.168175	202.900345	-304.364990	-0.079583	-14.958165	7.021053	319.406522	-6840.046121	21334.405449	30.136924	-119.721162	-292.959592	-0.087041	-199.669022	-305.422272	-0.130892	13.055778	-2.025405	298.973036	3726.855637	-23902.097655	-1595.005141
36	136.697917	-325.177527	-0.167601	202.900345	-304.364990	-0.079583	-14.427847	7.024117	320.115560	-6662.896907	21194.062507	-25.333502	-120.679982	-293.610147	-0.087402	-199.669022	-305.422272	-0.130892	13.055806	-2.378740	300.392067	3549.123301	-23727.523110	-1595.168844
37	136.659461	-324.950429	-0.167770	202.900345	-304.364990	-0.079583	-14.517607	6.847611	321.531989	-6619.518050	21300.257357	86.283357	-119.125504	-293.183208	-0.086610	-199.669022	-305.422272	-0.130892	12.615053	-2.380885	297.199206	3638.271922	-23937.307592	-1557.875206
38	136.404499	-325.339566	-0.167957	202.900345	-304.364990	-0.079583	-14.781567	7.022132	319.760909	-6707.399292	21264.467805	11.767396	-120.724380	-294.470224	-0.087147	-199.669022	-305.422272	-0.130892	13.057330	-2.821222	299.682770	3282.933931	-23658.143717	-1483.836347
39	136.841995	-324.927223	-0.167510	202.900345	-304.364990	-0.079583	-14.429119	6.759862	321.886289	-6619.282415	21264.936793	49.099510	-120.137222	-294.255930	-0.086866	-199.669022	-305.422272	-0.130892	12.704479	-2.911133	297.908906	3327.413287	-23693.071929	-1595.313043
40	136.592572	-326.142049	-0.167283	202.900345	-304.364990	-0.079583	-14.428298	7.112492	320.115516	-6971.706027	21227.796501	-7.207617	-120.422170	-293.554376	-0.087266	-199.669022	-305.422272	-0.130892	13.056437	-2.290755	298.973123	3549.014054	-23692.509100	-1558.008854
41	136.371302	-326.005468	-0.167678	202.900345	-304.364990	-0.079583	-14.160808	6.760349	320.116086	-6927.925899	21298.615903	-44.379047	-119.999689	-293.228337	-0.087120	-199.669022	-305.422272	-0.130892	12.968329	-2.291207	298.263598	3637.848243	-23762.298604	-1576.518569
42	136.553247	-325.637717	-0.167589	202.900345	-304.364990	-0.079583	-14.780590	6.933583	319.406828	-6795.155285	21193.386465	-25.529458	-119.578014	-294.602710	-0.086417	-199.669022	-305.422272	-0.130892	12.701651	-2.114619	299.327589	3239.459849	-23973.304981	-1595.274039
43	136.327611	-324.877852	-0.168298	202.900345	-304.364990	-0.079583	-14.868026	7.020983	318.344307	-6530.887472	21194.820873	142.269160	-119.712919	-293.781255	-0.086767	-199.669022	-305.422272	-0.130892	13.058160	-2.556685	297.199529	3460.526734	-23762.726968	-1539.453221
