Field	Time	LHJC_X	LHJC_Y	LHJC_Z	RHJC_X	RHJC_Y	RHJC_Z	LKJC_X	LKJC_Y	LKJC_Z	RKJC_X	RKJC_Y	RKJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
1	0.0000	-56.733753	-281.019196	887.399902	90.520630	-275.446228	884.027893	-103.030098	-333.893829	484.637421	110.311981	-351.073547	476.270966	-115.772346	-313.697052	70.524078	119.513367	-345.766998	73.488487	-137.500702	-154.648071	58.388790	16.893438	-278.232758	885.714050	19.360920	-260.190277	1031.983154	197.326401	-200.360428	63.620010	4.433599	-243.189209	1379.438232	1.896352	-244.912643	1182.350464
2	0.0100	-56.754288	-280.920166	887.417664	90.503456	-275.443787	884.034241	-103.017616	-333.653931	484.649994	110.316162	-350.995880	476.278839	-115.762474	-313.705963	70.514732	119.481125	-345.776398	73.500801	-137.512512	-154.658325	58.400730	16.874586	-278.182068	885.725952	19.367476	-260.195923	1032.001587	197.333267	-200.388672	63.663750	4.400053	-242.854294	1379.377075	1.970070	-244.772156	1182.261841
3	0.0200	-56.776615	-280.806671	887.434937	90.484596	-275.431610	884.040161	-103.008125	-333.419464	484.664459	110.317017	-350.895569	476.286804	-115.752914	-313.720123	70.505707	119.454872	-345.785980	73.512360	-137.523148	-154.673508	58.415154	16.853996	-278.119141	885.737671	19.372519	-260.184143	1032.019165	197.338516	-200.413040	63.706234	4.365097	-242.516815	1379.318970	2.038467	-244.619461	1182.181885
4	0.0300	-56.800758	-280.678558	887.451904	90.464035	-275.409546	884.045837	-103.001656	-333.190308	484.680817	110.314552	-350.772675	476.294800	-115.743660	-313.739655	70.497032	119.434601	-345.795746	73.523163	-137.532669	-154.693604	58.432022	16.831636	-278.044067	885.748840	19.375948	-260.155029	1032.035522	197.342239	-200.433563	63.747475	4.328740	-242.176788	1379.263672	2.101922	-244.455231	1182.110107
5	0.0400	-56.826580	-280.535919	887.468262	90.441872	-275.377716	884.051270	-102.998116	-332.966461	484.699036	110.308868	-350.627686	476.302856	-115.734726	-313.764404	70.488686	119.420235	-345.805634	73.533218	-137.541016	-154.718643	58.451286	16.807653	-277.956879	885.759888	19.377714	-260.108551	1032.051147	197.344452	-200.450363	63.787407	4.291025	-241.834259	1379.210938	2.160416	-244.279266	1182.046387
6	0.0500	-56.854076	-280.378754	887.484253	90.418129	-275.336029	884.056458	-102.997398	-332.747467	484.719086	110.300087	-350.461792	476.311096	-115.726074	-313.794220	70.480667	119.411629	-345.815704	73.542580	-137.548172	-154.748413	58.472923	16.782026	-277.857391	885.770508	19.378101	-260.044647	1032.065552	197.345184	-200.463470	63.826023	4.252027	-241.489304	1379.161743	2.213650	-244.091660	1181.991455
7	0.0600	-56.883007	-280.207123	887.499878	90.393013	-275.284454	884.061646	-102.999382	-332.532928	484.740906	110.288460	-350.276398	476.319458	-115.717674	-313.828949	70.472946	119.408447	-345.826172	73.551285	-137.554199	-154.782730	58.496750	16.755003	-277.745850	885.780884	19.376976	-259.963531	1032.079224	197.344360	-200.473328	63.863388	4.211878	-241.141953	1379.115234	2.261668	-243.892380	1181.943726
8	0.0700	-56.913189	-280.021057	887.515137	90.366707	-275.222900	884.066895	-103.003777	-332.322144	484.764465	110.274391	-350.074097	476.327972	-115.709450	-313.868134	70.465500	119.410286	-345.837219	73.559433	-137.559052	-154.821198	58.522636	16.726763	-277.621979	885.791138	19.374542	-259.865051	1032.092163	197.342163	-200.480301	63.899437	4.170778	-240.792419	1379.071533	2.304554	-243.682434	1181.902832
9	0.0800	-56.944302	-279.820587	887.530029	90.339516	-275.151184	884.072510	-103.010277	-332.114044	484.789642	110.258263	-349.857971	476.336792	-115.701324	-313.911377	70.458237	119.416534	-345.848999	73.567131	-137.562744	-154.863449	58.550369	16.697607	-277.485870	885.801392	19.370773	-259.749573	1032.104370	197.338455	-200.484970	63.934139	4.128990	-240.440903	1379.030762	2.342107	-243.461685	1181.868408
10	0.0900	-56.976006	-279.605804	887.544617	90.311768	-275.069214	884.078491	-103.018448	-331.907166	484.816315	110.240547	-349.631989	476.346008	-115.693230	-313.957855	70.451103	119.426414	-345.861908	73.574478	-137.565201	-154.908646	58.579594	16.667883	-277.337555	885.811707	19.366043	-259.617432	1032.116211	197.333435	-200.488159	63.967518	4.086857	-240.087555	1378.992310	2.374631	-243.230988	1181.838379
11	0.1000	-57.007961	-279.376709	887.559021	90.283768	-274.976685	884.085205	-103.027786	-331.699921	484.844269	110.221710	-349.400543	476.355652	-115.685005	-314.006744	70.443977	119.439056	-345.876038	73.581596	-137.566528	-154.956055	58.610004	16.637907	-277.176697	885.822205	19.360430	-259.468903	1032.127686	197.327255	-200.490601	63.999481	4.044783	-239.732666	1378.956421	2.401893	-242.990875	1181.812622
12	0.1100	-57.039753	-279.133484	887.572998	90.255936	-274.873352	884.092712	-103.037750	-331.490265	484.873383	110.202179	-349.168518	476.365845	-115.676529	-314.057037	70.436760	119.453445	-345.891754	73.588593	-137.566696	-155.004700	58.641167	16.608095	-277.003479	885.832825	19.354076	-259.304749	1032.139038	197.319962	-200.493118	64.029968	4.003246	-239.376480	1378.922974	2.424421	-242.742386	1181.789673
13	0.1200	-57.071014	-278.876007	887.586731	90.228607	-274.758759	884.101074	-103.047722	-331.276062	484.903320	110.182266	-348.940735	476.376740	-115.667595	-314.107574	70.429298	119.468521	-345.908905	73.595566	-137.565918	-155.053436	58.672672	16.578798	-276.817383	885.843994	19.347376	-259.125397	1032.150513	197.311874	-200.496460	64.058784	3.962773	-239.019409	1378.891113	2.442727	-242.487045	1181.767822
14	0.1300	-57.101433	-278.604370	887.599976	90.202095	-274.632477	884.110413	-103.057037	-331.054840	484.933777	110.162193	-348.721832	476.388458	-115.658066	-314.157013	70.421455	119.483124	-345.927673	73.602547	-137.564163	-155.101059	58.704033	16.550333	-276.618408	885.855347	19.340405	-258.932190	1032.162231	197.303299	-200.501495	64.085831	3.923940	-238.661652	1378.860107	2.456801	-242.225098	1181.745117
15	0.1400	-57.130760	-278.318604	887.612793	90.176598	-274.494110	884.120483	-103.065048	-330.824219	484.964478	110.142036	-348.516052	476.401123	-115.647736	-314.204102	70.413101	119.496262	-345.947754	73.609566	-137.561707	-155.146408	58.734810	16.522921	-276.406372	885.866760	19.333527	-258.726166	1032.173950	197.294571	-200.508698	64.110825	3.887357	-238.303589	1378.829956	2.467630	-241.958405	1181.721191
16	0.1500	-57.158783	-278.018738	887.625000	90.152328	-274.343140	884.131104	-103.071159	-330.581818	484.995087	110.121773	-348.326538	476.414856	-115.636406	-314.247467	70.404091	119.506966	-345.968658	73.616592	-137.558731	-155.188049	58.764530	16.496777	-276.180939	885.878174	19.326881	-258.508575	1032.185913	197.286118	-200.518372	64.133484	3.853651	-237.945496	1378.799438	2.475822	-241.688492	1181.693970
17	0.1600	-57.185474	-277.704681	887.636414	90.129295	-274.178955	884.142090	-103.074760	-330.325409	485.025391	110.101234	-348.155640	476.429718	-115.623871	-314.285828	70.394310	119.514412	-345.989868	73.623543	-137.555420	-155.224884	58.792789	16.471909	-275.941833	885.889404	19.320623	-258.280823	1032.198242	197.278381	-200.530563	64.153450	3.823458	-237.587753	1378.767456	2.482277	-241.416580	1181.662109
18	0.1700	-57.210842	-277.376556	887.646912	90.107445	-274.001190	884.153015	-103.075333	-330.053009	485.055023	110.080254	-348.004364	476.445862	-115.609955	-314.317993	70.383659	119.518005	-346.010468	73.630295	-137.552109	-155.255859	58.819263	16.448303	-275.688873	885.900085	19.315006	-258.044556	1032.210449	197.271790	-200.545120	64.170364	3.797402	-237.230698	1378.733765	2.487879	-241.144409	1181.625488
19	0.1800	-57.235046	-277.034302	887.656250	90.086639	-273.809357	884.163330	-103.072456	-329.763092	485.083862	110.058533	-347.872284	476.463226	-115.594467	-314.342926	70.372093	119.517334	-346.029633	73.636681	-137.549164	-155.279907	58.843624	16.425800	-275.421844	885.909912	19.310047	-257.801086	1032.222900	197.266891	-200.561539	64.183784	3.776082	-236.874802	1378.696289	2.493768	-240.873642	1181.582153
20	0.1900	-57.258377	-276.678040	887.664307	90.066544	-273.603180	884.172485	-103.065788	-329.454376	485.111725	110.035789	-347.757813	476.481781	-115.577240	-314.359894	70.359558	119.512268	-346.046204	73.642517	-137.546829	-155.296432	58.865749	16.404087	-275.140656	885.918518	19.305885	-257.552277	1032.234985	197.264008	-200.579010	64.193329	3.760051	-236.520447	1378.654785	2.500699	-240.605881	1181.531982
21	0.2000	-57.281216	-276.307800	887.670898	90.046776	-273.382507	884.179993	-103.055122	-329.126251	485.138641	110.011833	-347.658051	476.501495	-115.558151	-314.368378	70.346085	119.502899	-346.059113	73.647591	-137.545517	-155.304932	58.885529	16.382788	-274.845154	885.925537	19.302380	-257.299255	1032.246704	197.263489	-200.596664	64.198578	3.749804	-236.168243	1378.607788	2.509770	-240.342850	1181.474365
22	0.2100	-57.304104	-275.923798	887.675964	90.026779	-273.147400	884.185303	-103.040314	-328.778412	485.164581	109.986412	-347.568970	476.522186	-115.537064	-314.368103	70.331749	119.489586	-346.067108	73.651695	-137.545563	-155.305328	58.902988	16.361341	-274.535583	885.930725	19.299534	-257.043671	1032.258057	197.265701	-200.613174	64.199089	3.745760	-235.818817	1378.553833	2.522077	-240.086502	1181.408325
23	0.2200	-57.327621	-275.526245	887.679260	90.005959	-272.898132	884.187744	-103.021400	-328.411133	485.189697	109.959412	-347.485870	476.543549	-115.513931	-314.359192	70.316620	119.472763	-346.069214	73.654648	-137.547287	-155.297684	58.918289	16.339170	-274.212250	885.933655	19.297220	-256.786774	1032.268433	197.270721	-200.627441	64.194603	3.748248	-235.472778	1378.492554	2.537967	-239.837723	1181.334229
24	0.2300	-57.352554	-275.115570	887.681030	89.983521	-272.635315	884.186829	-102.998505	-328.025116	485.214233	109.930725	-347.403473	476.565430	-115.488632	-314.342133	70.300865	119.453133	-346.064453	73.656296	-137.551102	-155.282578	58.931667	16.315489	-273.875519	885.934021	19.295172	-256.529602	1032.277954	197.278625	-200.638138	64.184853	3.757496	-235.131012	1378.423218	2.558305	-239.598450	1181.252197
25	0.2400	-57.379604	-274.692261	887.681152	89.958771	-272.359711	884.182007	-102.971817	-327.621338	485.238434	109.900322	-347.316284	476.587402	-115.461174	-314.317688	70.284637	119.431404	-346.052063	73.656540	-137.557220	-155.260788	58.943466	16.289589	-273.525970	885.931641	19.293150	-256.273315	1032.286011	197.289383	-200.644165	64.169701	3.773623	-234.794235	1378.344482	2.583674	-239.369522	1181.161377
26	0.2500	-57.409588	-274.256958	887.679626	89.930878	-272.072510	884.173035	-102.941650	-327.201172	485.262665	109.868195	-347.219116	476.609192	-115.431580	-314.286835	70.268158	119.408302	-346.031555	73.655312	-137.565979	-155.233307	58.954079	16.260649	-273.164734	885.926453	19.290840	-256.018616	1032.292847	197.302780	-200.644485	64.149117	3.796638	-234.463318	1378.256958	2.614158	-239.151535	1181.062988
27	0.2600	-57.443310	-273.810425	887.676758	89.899040	-271.775116	884.159546	-102.908371	-326.766113	485.287231	109.834328	-347.106964	476.630463	-115.399803	-314.251007	70.251633	119.384605	-346.002655	73.652641	-137.577621	-155.201660	58.964039	16.227867	-272.792786	885.918274	19.287840	-255.766190	1032.297974	197.318527	-200.638214	64.123245	3.826435	-234.139084	1378.159912	2.649751	-238.945358	1180.956543
28	0.2700	-57.481560	-273.353668	887.672791	89.862457	-271.469177	884.141357	-102.872383	-326.317810	485.312592	109.798729	-346.975708	476.650879	-115.365997	-314.211517	70.235352	119.360893	-345.965546	73.648567	-137.592255	-155.167068	58.973808	16.190447	-272.411499	885.907227	19.283943	-255.516357	1032.301392	197.336151	-200.625061	64.092407	3.862803	-233.822266	1378.054077	2.690465	-238.750793	1180.843262
29	0.2800	-57.524971	-272.887817	887.667969	89.820488	-271.156494	884.118530	-102.834114	-325.858093	485.339050	109.761421	-346.821899	476.670105	-115.330208	-314.170013	70.219521	119.337685	-345.920563	73.643250	-137.610046	-155.131241	58.983883	16.147760	-272.022156	885.893372	19.278769	-255.269501	1032.303223	197.355164	-200.604736	64.056984	3.905430	-233.513626	1377.940308	2.735984	-238.567902	1180.723877
30	0.2900	-57.574062	-272.414185	887.662537	89.772621	-270.839020	884.091125	-102.793983	-325.388550	485.366913	109.722366	-346.643158	476.688080	-115.292625	-314.128052	70.204407	119.315338	-345.868378	73.636856	-137.630981	-155.095657	58.994740	16.099277	-271.626587	885.876953	19.271925	-255.025696	1032.303101	197.375031	-200.577393	64.017609	3.953910	-233.213638	1377.819336	2.785913	-238.395721	1180.599121
31	0.3000	-57.629208	-271.934143	887.656982	89.718460	-270.518677	884.059448	-102.752403	-324.910889	485.396484	109.681587	-346.437958	476.704529	-115.253426	-314.087158	70.190254	119.294098	-345.809937	73.629608	-137.655045	-155.061829	59.006763	16.044628	-271.226471	885.858215	19.263250	-254.784668	1032.301270	197.395065	-200.543457	63.974937	4.007763	-232.922699	1377.692871	2.839560	-238.233490	1180.470459
32	0.3100	-57.690495	-271.449249	887.651733	89.657913	-270.197357	884.023804	-102.709763	-324.426697	485.427917	109.639053	-346.205750	476.719482	-115.212852	-314.048737	70.177246	119.274040	-345.746307	73.621735	-137.682175	-155.031067	59.020279	15.983712	-270.823364	885.837769	19.252550	-254.546219	1032.298218	197.414688	-200.503662	63.929745	4.066436	-232.641098	1377.562012	2.896639	-238.079926	1180.338867
33	0.3200	-57.757740	-270.961029	887.647156	89.591148	-269.876770	883.984924	-102.666367	-323.937408	485.461395	109.594856	-345.946777	476.732880	-115.171196	-314.013885	70.165619	119.255142	-345.678680	73.613503	-137.712097	-155.004486	59.035465	15.916703	-270.418884	885.816162	19.239727	-254.309631	1032.293945	197.433258	-200.458817	63.882881	4.129321	-232.368790	1377.429199	2.956125	-237.932922	1180.206055
34	0.3300	-57.830536	-270.471130	887.643555	89.518570	-269.558411	883.943481	-102.622505	-323.444489	485.496826	109.549080	-345.662109	476.744843	-115.128807	-313.983551	70.155510	119.237251	-345.608337	73.605179	-137.744583	-154.982925	59.052383	15.844017	-270.014832	885.793640	19.224926	-254.074493	1032.288574	197.450348	-200.409882	63.835098	4.195767	-232.105606	1377.296509	3.017510	-237.791351	1180.074097
35	0.3400	-57.908119	-269.980957	887.641357	89.440926	-269.243286	883.900330	-102.578453	-322.949158	485.534180	109.501968	-345.353455	476.755402	-115.086082	-313.958221	70.147041	119.220215	-345.536438	73.596992	-137.779236	-154.966690	59.070923	15.766406	-269.612122	885.770935	19.208244	-253.839722	1032.282715	197.465469	-200.358032	63.787273	4.265083	-231.851242	1377.165771	3.080146	-237.652802	1179.943970
36	0.3500	-57.989403	-269.492035	887.640686	89.359322	-268.932312	883.856384	-102.534378	-322.452789	485.573242	109.453880	-345.023163	476.764832	-115.043449	-313.938141	70.140320	119.203819	-345.464142	73.589172	-137.815781	-154.956070	59.090927	15.684958	-269.212158	885.748535	19.189964	-253.604431	1032.276367	197.478302	-200.304184	63.740089	4.336552	-231.605057	1377.039063	3.143510	-237.515274	1179.817627
37	0.3600	-58.073093	-269.005585	887.641846	89.275047	-268.625671	883.812622	-102.490448	-321.956512	485.613708	109.405304	-344.673859	476.773193	-115.001350	-313.923126	70.135361	119.187889	-345.392426	73.581947	-137.853622	-154.950745	59.111992	15.600979	-268.815704	885.727356	19.170450	-253.367691	1032.270508	197.488785	-200.249344	63.694172	4.409437	-231.366318	1376.918823	3.206872	-237.376846	1179.697266
38	0.3700	-58.157581	-268.522797	887.644714	89.189720	-268.323364	883.769958	-102.446815	-321.461700	485.655182	109.356934	-344.308746	476.780670	-114.960236	-313.912720	70.132217	119.172272	-345.322235	73.575485	-137.892395	-154.950134	59.133678	15.516069	-268.423096	885.707458	19.150381	-253.128296	1032.265015	197.496735	-200.194397	63.650043	4.482984	-231.134155	1376.806030	3.269771	-237.235123	1179.583740
39	0.3800	-58.241184	-268.044586	887.649353	89.105057	-268.025024	883.729309	-102.403610	-320.969666	485.697235	109.309608	-343.931305	476.787537	-114.920540	-313.906281	70.130852	119.156837	-345.254181	73.569939	-137.931564	-154.953445	59.155476	15.431937	-268.034851	885.689453	19.130363	-252.885422	1032.260620	197.502365	-200.140244	63.608074	4.556443	-230.907608	1376.702271	3.331867	-237.089020	1179.478271
40	0.3900	-58.322060	-267.571777	887.655518	89.022919	-267.730011	883.691467	-102.360893	-320.481842	485.739288	109.264282	-343.545288	476.793945	-114.882690	-313.902771	70.131210	119.141502	-345.188904	73.565437	-137.970612	-154.959686	59.176777	15.350430	-267.650940	885.673645	19.111036	-252.638031	1032.257202	197.505737	-200.087494	63.568516	4.629059	-230.685547	1376.609497	3.392484	-236.936218	1179.383057
41	0.4000	-58.398277	-267.105011	887.662720	88.945290	-267.437500	883.657288	-102.318810	-319.999725	485.780762	109.222046	-343.154724	476.800049	-114.847054	-313.901123	70.133232	119.126266	-345.126770	73.562111	-138.009064	-154.967545	59.196980	15.273508	-267.271240	885.659973	19.093248	-252.385452	1032.255005	197.507278	-200.036697	63.531525	4.700096	-230.466858	1376.527832	3.451529	-236.775452	1179.298340
42	0.4100	-58.468124	-266.644836	887.670776	88.873917	-267.146545	883.627014	-102.277420	-319.524994	485.821136	109.183990	-342.763763	476.806030	-114.813911	-313.900299	70.136787	119.111145	-345.068146	73.559998	-138.046509	-154.975998	59.215538	15.202896	-266.895752	885.648987	19.077803	-252.127319	1032.254395	197.507202	-199.988434	63.497162	4.768841	-230.250488	1376.457642	3.508747	-236.605896	1179.224487
43	0.4200	-58.529922	-266.191864	887.678955	88.810524	-266.856567	883.600891	-102.236847	-319.059479	485.859741	109.151161	-342.376709	476.812164	-114.783447	-313.899170	70.141792	119.096115	-345.013306	73.559181	-138.082458	-154.983810	59.231915	15.140305	-266.524292	885.640076	19.065506	-251.863144	1032.255005	197.505859	-199.943161	63.465424	4.834616	-230.035477	1376.399780	3.563763	-236.426315	1179.163086
44	0.4300	-58.582230	-265.746674	887.686829	88.756615	-266.566925	883.579163	-102.197174	-318.605103	485.896149	109.124542	-341.997772	476.818573	-114.755821	-313.896698	70.148094	119.081238	-344.962433	73.559692	-138.116653	-154.989868	59.245667	15.087192	-266.156860	885.633118	19.057041	-251.593170	1032.256592	197.503677	-199.901230	63.436249	4.896789	-229.820984	1376.353394	3.616416	-236.236877	1179.113281
45	0.4400	-58.623978	-265.309967	887.693726	88.713287	-266.277344	883.561462	-102.158493	-318.163879	485.929749	109.104912	-341.631104	476.825409	-114.731018	-313.892181	70.155579	119.066544	-344.915771	73.561516	-138.148788	-154.993515	59.256493	15.044657	-265.793640	885.627747	19.053139	-251.317627	1032.258789	197.500854	-199.862976	63.409508	4.954790	-229.606247	1376.317871	3.666693	-236.037094	1179.075073
46	0.4500	-58.654320	-264.882416	887.699036	88.681435	-265.987823	883.547668	-102.120903	-317.737885	485.960297	109.092789	-341.280487	476.832916	-114.709000	-313.885071	70.164085	119.052063	-344.873535	73.564667	-138.178619	-154.994110	59.264214	15.013557	-265.435120	885.623474	19.054325	-251.037247	1032.261353	197.497650	-199.828781	63.385197	5.008124	-229.390778	1376.292480	3.714573	-235.827530	1179.048218
47	0.4600	-58.672947	-264.464966	887.702332	88.661400	-265.698761	883.537109	-102.084496	-317.329224	485.987366	109.088402	-340.949280	476.841095	-114.689598	-313.875092	70.173454	119.037804	-344.835876	73.569031	-138.205994	-154.991379	59.268761	14.994227	-265.081879	885.619812	19.060949	-250.752884	1032.263672	197.494293	-199.798859	63.363186	5.056376	-229.174393	1376.275879	3.759782	-235.608414	1179.031616
48	0.4700	-58.679810	-264.058716	887.703186	88.653252	-265.411011	883.529236	-102.049332	-316.940063	486.010834	109.091652	-340.640167	476.850098	-114.672585	-313.862122	70.183556	119.023827	-344.802887	73.574547	-138.230865	-154.985199	59.270226	14.986725	-264.734863	885.616333	19.073294	-250.465530	1032.265503	197.490921	-199.773376	63.343430	5.099229	-228.957001	1376.267456	3.802410	-235.380783	1179.024780
49	0.4800	-58.675369	-263.664795	887.701294	88.656548	-265.125671	883.523376	-102.015503	-316.572235	486.030609	109.102104	-340.355316	476.860016	-114.657753	-313.846466	70.194191	119.010170	-344.774658	73.581070	-138.253159	-154.975891	59.268810	14.990587	-264.395233	885.612427	19.091232	-250.176498	1032.266113	197.487610	-199.752441	63.325813	5.136469	-228.738815	1376.264893	3.842584	-235.145599	1179.026001
50	0.4900	-58.660351	-263.284424	887.696411	88.670563	-264.844086	883.518921	-101.983063	-316.227539	486.046753	109.118973	-340.095917	476.870850	-114.644783	-313.828491	70.205208	118.996902	-344.751160	73.588448	-138.272903	-154.963852	59.264843	15.005105	-264.064240	885.607788	19.114603	-249.886978	1032.265137	197.484390	-199.735977	63.310326	5.167993	-228.520218	1376.267578	3.880224	-234.903961	1179.034546
51	0.5000	-58.635986	-262.918793	887.688660	88.694069	-264.567719	883.515198	-101.952049	-315.907379	486.059479	109.141197	-339.862396	476.882477	-114.633392	-313.808929	70.216408	118.984169	-344.732300	73.596466	-138.290161	-154.949677	59.258747	15.029039	-263.743347	885.602051	19.142862	-249.598511	1032.262451	197.481232	-199.723846	63.296883	5.193811	-228.301758	1376.273804	3.915495	-234.657150	1179.048584
52	0.5100	-58.603649	-262.569183	887.678162	88.725677	-264.298279	883.511536	-101.922516	-315.612823	486.069000	109.167480	-339.654327	476.894928	-114.623360	-313.788330	70.227623	118.972145	-344.717682	73.604897	-138.305038	-154.934158	59.250984	15.061018	-263.433746	885.594971	19.175453	-249.312195	1032.257568	197.478226	-199.715530	63.285343	5.214047	-228.084106	1376.282471	3.948523	-234.406494	1179.067017
53	0.5200	-58.565067	-262.236542	887.665100	88.763664	-264.037292	883.507629	-101.894478	-315.344482	486.075684	109.196297	-339.470581	476.907959	-114.614449	-313.767456	70.238632	118.961006	-344.707062	73.613495	-138.317627	-154.917847	59.242035	15.099298	-263.136963	885.586365	19.211414	-249.029449	1032.250488	197.475250	-199.710648	63.275665	5.228938	-227.867905	1376.292480	3.979667	-234.153030	1179.088501
54	0.5300	-58.522064	-261.921692	887.649963	88.806168	-263.786194	883.502991	-101.867966	-315.102478	486.079926	109.226074	-339.309418	476.921448	-114.606491	-313.747131	70.249252	118.951012	-344.699890	73.622017	-138.328079	-154.901688	59.232456	15.142055	-262.853943	885.576599	19.249744	-248.751129	1032.241211	197.472488	-199.708572	63.267632	5.238818	-227.653824	1376.303223	4.008986	-233.898132	1179.112061
55	0.5400	-58.476563	-261.625214	887.633118	88.851257	-263.546295	883.497498	-101.843040	-314.886536	486.082275	109.255211	-339.168549	476.935059	-114.599380	-313.727997	70.259277	118.942398	-344.695496	73.630211	-138.336456	-154.886215	59.222740	15.187348	-262.585724	885.565430	19.289377	-248.478439	1032.229858	197.469864	-199.708496	63.261120	5.244111	-227.442490	1376.314209	4.036484	-233.642487	1179.136963
56	0.5500	-58.430492	-261.347290	887.615295	88.896980	-263.318573	883.491028	-101.819725	-314.695892	486.083221	109.282082	-339.045288	476.948547	-114.593033	-313.710602	70.268555	118.935455	-344.693237	73.637833	-138.342957	-154.872055	59.213303	15.233249	-262.332916	885.553223	19.328876	-248.212067	1032.216553	197.467484	-199.709610	63.255867	5.245317	-227.234268	1376.324829	4.062911	-233.387543	1179.161865
57	0.5600	-58.385677	-261.087982	887.597046	88.941505	-263.103821	883.483704	-101.798080	-314.529297	486.083221	109.305290	-338.937103	476.961609	-114.587425	-313.695587	70.276894	118.930344	-344.692383	73.644699	-138.347763	-154.859772	59.204624	15.277916	-262.095917	885.540344	19.367165	-247.952911	1032.201660	197.465393	-199.711166	63.251732	5.242979	-227.029587	1376.335205	4.088209	-233.133530	1179.186768
58	0.5700	-58.343845	-260.846954	887.578735	88.983063	-262.902527	883.475525	-101.778175	-314.385254	486.082764	109.323540	-338.841248	476.973877	-114.582581	-313.683136	70.284172	118.927307	-344.692200	73.650627	-138.350983	-154.849579	59.197002	15.319612	-261.874725	885.527283	19.402988	-247.701309	1032.185791	197.463669	-199.712372	63.248463	5.237674	-226.828552	1376.345337	4.112806	-232.881546	1179.211060
59	0.5800	-58.306492	-260.623657	887.561218	89.020164	-262.714905	883.466797	-101.760109	-314.262024	486.082306	109.335777	-338.755280	476.985016	-114.578514	-313.673615	70.290283	118.926392	-344.692139	73.655495	-138.352829	-154.841812	59.190723	15.356835	-261.669342	885.514099	19.435291	-247.458008	1032.169067	197.462402	-199.712616	63.245914	5.229980	-226.630951	1376.355957	4.136758	-232.631821	1179.235229
60	0.5900	-58.274731	-260.417267	887.544617	89.051674	-262.540894	883.457642	-101.743988	-314.157562	486.082214	109.341278	-338.677094	476.994690	-114.575264	-313.667145	70.295151	118.927650	-344.691528	73.659233	-138.353439	-154.836563	59.186012	15.388470	-261.479065	885.501282	19.463184	-247.223221	1032.152100	197.461639	-199.711304	63.243896	5.220448	-226.436691	1376.367310	4.160434	-232.384949	1179.259155
61	0.6000	-58.249538	-260.226929	887.529602	89.076591	-262.380402	883.448425	-101.729988	-314.070038	486.082855	109.339523	-338.605011	477.002594	-114.572838	-313.663788	70.298752	118.930977	-344.689972	73.661804	-138.353027	-154.833969	59.183010	15.413528	-261.303650	885.489136	19.485979	-246.997620	1032.135010	197.461411	-199.708130	63.242287	5.209595	-226.245193	1376.380005	4.183773	-232.141296	1179.283203
62	0.6100	-58.231434	-260.051697	887.516296	89.094398	-262.233063	883.439392	-101.718262	-313.997437	486.084351	109.330360	-338.537872	477.008484	-114.571190	-313.663544	70.301125	118.936134	-344.687286	73.663246	-138.351883	-154.834045	59.181778	15.431484	-261.142395	885.477966	19.503063	-246.781464	1032.118530	197.461731	-199.703003	63.241058	5.197872	-226.055923	1376.394165	4.207081	-231.901337	1179.307251
63	0.6200	-58.220707	-259.890656	887.505066	89.104805	-262.098572	883.430603	-101.708946	-313.937988	486.086975	109.313927	-338.474915	477.012146	-114.570297	-313.666290	70.302322	118.942879	-344.683289	73.663635	-138.350174	-154.836761	59.182381	15.442049	-260.994629	885.467957	19.514446	-246.575256	1032.102783	197.462494	-199.695908	63.240147	5.185662	-225.868195	1376.410645	4.230138	-231.665268	1179.332520
64	0.6300	-58.217278	-259.742859	887.495789	89.107872	-261.976563	883.422363	-101.702255	-313.890015	486.090729	109.290619	-338.415985	477.013519	-114.570030	-313.671906	70.302483	118.950806	-344.678070	73.663071	-138.348175	-154.841980	59.184723	15.445297	-260.859772	885.459106	19.519995	-246.379410	1032.087891	197.463745	-199.687073	63.239643	5.173277	-225.681259	1376.429688	4.252939	-231.433746	1179.358887
65	0.6400	-58.220829	-259.607513	887.488647	89.103912	-261.866821	883.414734	-101.698364	-313.852295	486.095581	109.261086	-338.361328	477.012512	-114.570244	-313.680328	70.301743	118.959503	-344.671814	73.661690	-138.346161	-154.849686	59.188759	15.441545	-260.737152	885.451721	19.520071	-246.194275	1032.074219	197.465378	-199.676865	63.239498	5.160956	-225.494446	1376.451416	4.275388	-231.206787	1179.386719
66	0.6500	-58.230911	-259.484039	887.483459	89.093384	-261.768982	883.407715	-101.697403	-313.823547	486.101563	109.226227	-338.311584	477.009216	-114.570786	-313.691162	70.300316	118.968452	-344.664856	73.659660	-138.344376	-154.859726	59.194324	15.431241	-260.626526	885.445740	19.514973	-246.020447	1032.061768	197.467163	-199.665878	63.239964	5.148878	-225.307007	1376.476196	4.296997	-230.985031	1179.416748
