Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
339	148.425439	-295.051376	-0.165011	202.900341	-304.364990	-0.079583	-16.304362	8.049062	268.056331	2494.529191	14604.641340	1553.963708	-126.148376	-266.648568	-0.099507	-199.669022	-305.422272	-0.130892	16.842368	-2.799803	336.222455	13037.839901	-24719.397768	-2797.227938
340	149.128705	-295.799019	-0.163600	202.900341	-304.364990	-0.079583	-16.221359	8.316034	270.889304	2318.309963	14568.458908	1590.921551	-126.018046	-267.054724	-0.099296	-199.669022	-305.422272	-0.130892	16.488432	-2.624131	335.157977	12860.554977	-24684.891211	-2964.616312
341	148.751483	-295.531034	-0.164291	202.900341	-304.364990	-0.079583	-16.745740	7.869874	267.701638	2362.757111	14498.076788	1591.022129	-125.290227	-266.555423	-0.099023	-199.669022	-305.422272	-0.130892	17.019223	-2.799247	336.577298	13083.021692	-25034.344862	-2927.197148
342	147.641207	-296.206554	-0.165607	202.900341	-304.364990	-0.079583	-16.834827	7.869595	268.055632	2184.679180	14814.936325	1665.005544	-126.352704	-267.205103	-0.099447	-199.669022	-305.422272	-0.130892	16.665110	-3.065128	337.641351	12905.031664	-24754.772595	-2927.395376
343	148.573168	-295.895995	-0.164376	202.900341	-304.364990	-0.079583	-16.481633	7.871755	268.764408	2274.209147	14603.478017	1479.234619	-126.562978	-266.024084	-0.099960	-199.669022	-305.422272	-0.130892	16.576138	-2.888448	337.641240	13303.779285	-24683.777717	-2927.179555
344	148.548561	-295.684894	-0.164517	202.900341	-304.364990	-0.079583	-16.921435	7.692044	267.347338	2318.656015	14533.102731	1479.335193	-126.172783	-266.770396	-0.099481	-199.669022	-305.422272	-0.130892	16.929823	-2.622334	337.286659	13038.047266	-24789.425565	-2852.961251
345	148.652032	-295.113154	-0.164644	202.900341	-304.364990	-0.079583	-16.926920	8.046764	269.826010	2494.348749	14639.947515	1553.946077	-125.705210	-266.951545	-0.099142	-199.669022	-305.422272	-0.130892	16.843034	-3.153486	336.577308	12949.689526	-24894.669616	-2908.737109
346	148.523732	-295.603932	-0.164593	202.900341	-304.364990	-0.079583	-16.216621	7.696884	269.827236	2362.020637	14674.533250	1479.329999	-125.782938	-267.021432	-0.099166	-199.669022	-305.422272	-0.130892	16.929405	-2.710436	338.350866	12994.221681	-24999.526773	-2815.747598
347	147.986319	-295.419090	-0.165482	202.900341	-304.364990	-0.079583	-16.126105	7.520238	269.119235	2405.454992	14780.701994	1553.744927	-126.354335	-266.548697	-0.099663	-199.669022	-305.422272	-0.130892	16.487383	-2.800218	337.641158	13126.631699	-24754.209766	-2890.091309
348	148.069888	-295.128618	-0.165501	202.900341	-304.364990	-0.079583	-16.749871	7.959468	270.180442	2493.363822	14816.486305	1609.660232	-126.017676	-266.326190	-0.099534	-199.669022	-305.422272	-0.130892	16.486291	-2.446302	337.995778	13215.603468	-24893.990570	-2852.820572
