Field	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	LHJC_X	LHJC_Y	LHJC_Z	RHJC_X	RHJC_Y	RHJC_Z	LKJC_X	LKJC_Y	LKJC_Z	RKJC_X	RKJC_Y	RKJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RAJC_X	RAJC_Y	RAJC_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
1	0.0000	0.866550	-314.334381	894.044189	3.909135	-282.165436	1037.857178	-152.989960	-131.374847	60.018829	190.009216	-172.668045	64.597160	-72.544975	-320.131317	896.995972	74.278076	-308.537415	891.092407	-115.853455	-302.488953	487.188171	115.625702	-312.661346	475.332245	-124.653656	-289.359039	70.591393	130.113770	-325.856781	73.148254	-13.158529	-118.083626	1343.256592	-12.280763	-201.076447	1162.263184
2	0.0100	0.772518	-313.399445	894.084900	3.922646	-281.926666	1038.049561	-153.009628	-131.309464	60.020023	190.018829	-172.641693	64.585167	-72.642593	-319.144440	897.049072	74.187630	-307.654449	891.120728	-115.850876	-302.229584	487.203796	115.408699	-312.498779	475.385284	-124.666794	-289.293457	70.577950	130.074265	-325.811096	73.138428	-13.027095	-119.748489	1344.033447	-12.131516	-201.793640	1162.626831
3	0.0200	0.677498	-312.483002	894.122070	3.932276	-281.686829	1038.230713	-153.024994	-131.248413	60.021091	190.024567	-172.615906	64.577919	-72.741570	-318.171356	897.097656	74.096558	-306.794617	891.146545	-115.851181	-301.977478	487.220734	115.207970	-312.306580	475.432312	-124.677994	-289.232635	70.564590	130.035812	-325.768158	73.128029	-12.890633	-121.370094	1344.789063	-11.986541	-202.487000	1162.985352
4	0.0300	0.581661	-311.585175	894.155701	3.938004	-281.445648	1038.400757	-153.036102	-131.191681	60.022007	190.026672	-172.590485	64.575294	-72.841705	-317.212311	897.141541	74.005020	-305.958038	891.169861	-115.854385	-301.732849	487.238861	115.023521	-312.084534	475.473389	-124.687218	-289.176483	70.551346	129.998535	-325.727783	73.117012	-12.749163	-122.948456	1345.523071	-11.845931	-203.156754	1163.338135
5	0.0400	0.485128	-310.706024	894.185547	3.939847	-281.203125	1038.559814	-153.043015	-131.139404	60.022800	190.025818	-172.564850	64.576744	-72.942879	-316.267395	897.180603	73.913124	-305.144653	891.190552	-115.860466	-301.495911	487.258118	114.855133	-311.831757	475.508575	-124.694427	-289.125214	70.538239	129.962784	-325.689209	73.105309	-12.602750	-124.483589	1346.235840	-11.709620	-203.802979	1163.685547
6	0.0500	0.388025	-309.845306	894.211731	3.937726	-280.958740	1038.708252	-153.045929	-131.091766	60.023438	190.023285	-172.538010	64.581360	-73.044922	-315.336548	897.214905	73.820969	-304.354065	891.208557	-115.869461	-301.267120	487.278473	114.702347	-311.546967	475.538239	-124.699600	-289.078857	70.525330	129.929245	-325.651184	73.092804	-12.451530	-125.975502	1346.927246	-11.577679	-204.425751	1164.026855
7	0.0600	0.290708	-309.002625	894.234131	3.931673	-280.711945	1038.846191	-153.045059	-131.048965	60.023956	190.020676	-172.508728	64.587914	-73.147469	-314.419647	897.244202	73.728882	-303.585602	891.223999	-115.881325	-301.046906	487.299561	114.564354	-311.229431	475.562744	-124.702721	-289.037689	70.512680	129.898712	-325.612030	73.079384	-12.295736	-127.424255	1347.597534	-11.450044	-205.025024	1164.362305
8	0.0700	0.193406	-308.177124	894.252869	3.921718	-280.461639	1038.974121	-153.040848	-131.011230	60.024368	190.019958	-172.475586	64.594910	-73.250237	-313.516357	897.268738	73.637047	-302.837952	891.237000	-115.896065	-300.835968	487.321259	114.439980	-310.878937	475.582764	-124.703812	-289.001709	70.500389	129.872162	-325.569885	73.064964	-12.135733	-128.829880	1348.247070	-11.326769	-205.600632	1164.692017
9	0.0800	0.096564	-307.367615	894.268005	3.907786	-280.206604	1039.092163	-153.033737	-130.978836	60.024723	190.023041	-172.437469	64.600952	-73.352730	-312.625916	897.288330	73.545860	-302.109344	891.247742	-115.913605	-300.634735	487.343140	114.327606	-310.497192	475.598969	-124.702927	-288.971252	70.488525	129.850311	-325.523193	73.049469	-11.972032	-130.192490	1348.875854	-11.207946	-206.152435	1165.015259
10	0.0900	0.000578	-306.572479	894.279846	3.889872	-279.944946	1039.201050	-153.024292	-130.951920	60.025032	190.031525	-172.393494	64.604736	-73.454498	-311.747528	897.303162	73.455658	-301.397430	891.256531	-115.933861	-300.443726	487.364807	114.225204	-310.088257	475.612152	-124.700211	-288.946320	70.477188	129.833786	-325.470520	73.032990	-11.805305	-131.512207	1349.484497	-11.093490	-206.680008	1165.332275
11	0.1000	-0.094065	-305.789734	894.288513	3.868098	-279.674866	1039.300903	-153.013123	-130.930557	60.025330	190.046417	-172.343552	64.605415	-73.555000	-310.880005	897.313477	73.366875	-300.699432	891.263550	-115.956635	-300.263123	487.385834	114.130447	-309.658508	475.623260	-124.695877	-288.926910	70.466446	129.822678	-325.411316	73.015671	-11.636398	-132.789246	1350.073242	-10.983625	-207.182922	1165.642578
12	0.1100	-0.186896	-305.016907	894.294495	3.842482	-279.393921	1039.392700	-153.000839	-130.914581	60.025600	190.068024	-172.288147	64.602608	-73.653687	-310.021912	897.319580	73.279892	-300.011902	891.269470	-115.981728	-300.092773	487.405884	114.040695	-309.216797	475.633118	-124.690239	-288.912811	70.456329	129.816574	-325.345856	72.997765	-11.466311	-134.023819	1350.642822	-10.878253	-207.661011	1165.946289
13	0.1200	-0.277453	-304.251404	894.298035	3.813217	-279.099762	1039.477051	-152.988068	-130.903503	60.025764	190.095993	-172.228317	64.596428	-73.750031	-309.171631	897.321594	73.195122	-299.331177	891.274475	-116.008820	-299.932007	487.424744	113.953270	-308.773224	475.642670	-124.683708	-288.903473	70.446838	129.814789	-325.274933	72.979599	-11.296192	-135.216263	1351.193481	-10.777591	-208.113434	1166.242676
14	0.1300	-0.365376	-303.490356	894.299561	3.780351	-278.789825	1039.554443	-152.975235	-130.896713	60.025764	190.129242	-172.165726	64.587517	-73.843605	-308.327301	897.320129	73.112854	-298.653412	891.278992	-116.037552	-299.779663	487.442017	113.865517	-308.338470	475.652649	-124.676720	-288.898315	70.437943	129.816147	-325.200317	72.961510	-11.127316	-136.366989	1351.725830	-10.681586	-208.540039	1166.531616
15	0.1400	-0.450325	-302.730713	894.299500	3.744168	-278.461517	1039.625610	-152.962723	-130.893219	60.025433	190.166306	-172.102020	64.576729	-73.934013	-307.486877	897.315552	73.033363	-297.974518	891.283386	-116.067566	-299.633850	487.457733	113.775093	-307.922241	475.663757	-124.669830	-288.896393	70.429565	129.819473	-325.123657	72.943802	-10.961043	-137.476440	1352.240234	-10.590532	-208.940186	1166.812500
16	0.1500	-0.532134	-301.969482	894.298218	3.704946	-278.112640	1039.691406	-152.950714	-130.891769	60.024548	190.205460	-172.038879	64.565147	-74.021019	-306.648407	897.308411	72.956757	-297.290527	891.287964	-116.098457	-299.492493	487.471802	113.680153	-307.532257	475.676392	-124.663605	-288.896423	70.421585	129.823517	-325.046997	72.926689	-10.798792	-138.545197	1352.737427	-10.504250	-209.313812	1167.084961
17	0.1600	-0.610693	-301.203705	894.296082	3.663021	-277.740936	1039.752319	-152.939301	-130.890854	60.022823	190.245041	-171.977493	64.553833	-74.104477	-305.809631	897.299194	72.883102	-296.597778	891.292969	-116.129852	-299.352722	487.484344	113.579514	-307.173370	475.690857	-124.658661	-288.897064	70.413910	129.827347	-324.971771	72.910324	-10.641990	-139.573868	1353.217773	-10.422933	-209.660583	1167.348389
18	0.1700	-0.686019	-300.430756	894.293274	3.618649	-277.344696	1039.808838	-152.928345	-130.888901	60.019958	190.283539	-171.918625	64.543663	-74.184380	-304.968567	897.288208	72.812340	-295.892944	891.298340	-116.161415	-299.211914	487.495514	113.472740	-306.847107	475.707123	-124.655548	-288.896820	70.406425	129.830353	-324.899170	72.894699	-10.492032	-140.563187	1353.681274	-10.346592	-209.980270	1167.601807
19	0.1800	-0.758383	-299.648132	894.290100	3.572455	-276.922394	1039.861572	-152.917755	-130.884338	60.015678	190.319931	-171.862366	64.535233	-74.260948	-304.123199	897.276184	72.744186	-295.173096	891.304077	-116.192856	-299.067413	487.505646	113.360245	-306.551514	475.725128	-124.654747	-288.894196	70.399040	129.832397	-324.829712	72.879745	-10.350243	-141.513901	1354.128662	-10.275249	-210.273132	1167.844849
20	0.1900	-0.827979	-298.853821	894.286560	3.524611	-276.473145	1039.910889	-152.907303	-130.875732	60.009697	190.353561	-171.808319	64.528870	-74.334389	-303.271667	897.263245	72.678429	-294.436005	891.309875	-116.223946	-298.916931	487.514984	113.243149	-306.281677	475.744324	-124.656609	-288.887878	70.391716	129.833725	-324.763306	72.865326	-10.217827	-142.426834	1354.560059	-10.208963	-210.539154	1168.076782
21	0.2000	-0.895204	-298.046204	894.282593	3.475774	-275.996460	1039.956787	-152.896820	-130.861893	60.001797	190.384277	-171.755585	64.524467	-74.405083	-302.412384	897.249756	72.614677	-293.680023	891.315430	-116.254501	-298.758881	487.523895	113.123093	-306.030609	475.764313	-124.661423	-288.876740	70.384453	129.834930	-324.699432	72.851250	-10.095848	-143.302887	1354.975708	-10.147709	-210.778656	1168.296753
22	0.2100	-0.960562	-297.223999	894.278076	3.426399	-275.492218	1039.999634	-152.886200	-130.841980	59.991791	190.412430	-171.703003	64.521629	-74.473549	-301.543823	897.235962	72.552429	-292.904175	891.320129	-116.284378	-298.592682	487.532715	113.002098	-305.789825	475.784454	-124.669205	-288.859924	70.377312	129.836853	-324.637054	72.837372	-9.985187	-144.142960	1355.375854	-10.091385	-210.992310	1168.504150
23	0.2200	-1.024560	-296.386505	894.272705	3.376944	-274.960907	1040.039185	-152.875427	-130.815674	59.979668	190.438538	-171.649445	64.519791	-74.540321	-300.664886	897.221985	72.491203	-292.108124	891.323425	-116.313385	-298.418671	487.541840	112.882172	-305.550934	475.803986	-124.679817	-288.837097	70.370399	129.840332	-324.575195	72.823563	-9.886525	-144.947968	1355.760620	-10.039959	-211.180176	1168.698120
24	0.2300	-1.087768	-295.533325	894.266174	3.327924	-274.403229	1040.075317	-152.864548	-130.783173	59.965473	190.463257	-171.593964	64.518272	-74.605995	-299.774506	897.207764	72.430458	-291.292175	891.324585	-116.341362	-298.238098	487.551483	112.765152	-305.306061	475.822174	-124.692940	-288.808380	70.363861	129.846069	-324.512848	72.809753	-9.800333	-145.718857	1356.130493	-9.993264	-211.343231	1168.878662
25	0.2400	-1.150683	-294.664520	894.257874	3.279882	-273.820313	1040.107666	-152.853806	-130.745010	59.949341	190.487259	-171.536057	64.516487	-74.671104	-298.872009	897.193054	72.369736	-290.457031	891.322754	-116.368027	-298.053162	487.561951	112.652458	-305.049042	475.838379	-124.708099	-288.774170	70.357849	129.854477	-324.449402	72.795929	-9.726863	-146.456558	1356.485840	-9.951341	-211.481689	1169.045044
26	0.2500	-1.213884	-293.780426	894.247437	3.233205	-273.213409	1040.136108	-152.843384	-130.702209	59.931507	190.511017	-171.475601	64.513924	-74.736259	-297.956940	897.177856	72.308495	-289.603943	891.317017	-116.393105	-297.866455	487.573364	112.544914	-304.775421	475.851807	-124.724724	-288.735352	70.352509	129.865570	-324.384552	72.782127	-9.666149	-147.161987	1356.826782	-9.913773	-211.596100	1169.197021
27	0.2600	-1.277823	-292.881622	894.234192	3.188312	-272.583954	1040.159912	-152.833694	-130.655975	59.912285	190.534683	-171.412933	64.510330	-74.801964	-297.028931	897.161804	72.246323	-288.734314	891.306641	-116.416229	-297.680695	487.585938	112.442894	-304.482788	475.861786	-124.742142	-288.692993	70.347946	129.878998	-324.318359	72.768402	-9.618016	-147.836014	1357.154297	-9.880619	-211.686737	1169.334839
28	0.2700	-1.342822	-291.968872	894.217529	3.145624	-271.933350	1040.178833	-152.824936	-130.607758	59.892052	190.558075	-171.348923	64.505737	-74.868584	-296.087891	897.144348	72.182938	-287.849884	891.290710	-116.436996	-297.498230	487.599548	112.346207	-304.170563	475.867706	-124.759697	-288.648346	70.344208	129.893890	-324.251434	72.754829	-9.582099	-148.479446	1357.468994	-9.851351	-211.754028	1169.458618
29	0.2800	-1.409229	-291.042969	894.196960	3.105511	-271.262939	1040.192383	-152.817444	-130.558777	59.871170	190.580811	-171.284531	64.500412	-74.936508	-295.133759	897.125305	72.118042	-286.952209	891.268555	-116.455040	-297.320374	487.614319	112.254440	-303.839020	475.869019	-124.776894	-288.602570	70.341232	129.909225	-324.184570	72.741417	-9.557856	-149.093063	1357.771851	-9.826006	-211.797882	1169.569092
30	0.2900	-1.477201	-290.104767	894.171814	3.068193	-270.573853	1040.199707	-152.811356	-130.510223	59.850082	190.602295	-171.220825	64.494774	-75.005920	-294.166656	897.104187	72.051521	-286.042877	891.239441	-116.470016	-297.147400	487.629974	112.167099	-303.489502	475.865295	-124.793243	-288.556763	70.338860	129.923828	-324.118530	72.728195	-9.544599	-149.677536	1358.063843	-9.804138	-211.817932	1169.666748
31	0.3000	-1.546732	-289.154907	894.141785	3.034026	-269.866852	1040.200928	-152.806763	-130.462799	59.829102	190.621918	-171.158600	64.489319	-75.076859	-293.186646	897.080688	71.983391	-285.123199	891.202942	-116.481697	-296.977722	487.646362	112.083847	-303.122864	475.856140	-124.808556	-288.511597	70.336853	129.936539	-324.053986	72.715073	-9.541512	-150.233444	1358.346191	-9.785512	-211.813919	1169.752686
32	0.3100	-1.617758	-288.194000	894.106445	3.003078	-269.142303	1040.195313	-152.803619	-130.416946	59.808640	190.639130	-171.098221	64.484520	-75.149269	-292.193756	897.054260	71.913750	-284.194214	891.158691	-116.489983	-296.808228	487.663300	112.004662	-302.739655	475.841309	-124.822800	-288.467590	70.334839	129.946548	-323.991180	72.701973	-9.547691	-150.761337	1358.620728	-9.769769	-211.785065	1169.828491
33	0.3200	-1.690110	-287.222290	894.065613	2.975485	-268.400146	1040.182861	-152.801697	-130.372543	59.788963	190.653656	-171.039520	64.480728	-75.223007	-291.188049	897.024719	71.842781	-283.256500	891.106506	-116.494888	-296.633972	487.680359	111.929901	-302.338898	475.820648	-124.836197	-288.424774	70.332367	129.953400	-323.929962	72.688721	-9.562160	-151.261581	1358.888428	-9.756526	-211.730408	1169.895020
34	0.3300	-1.763408	-286.239777	894.019104	2.951318	-267.640045	1040.163208	-152.800781	-130.329269	59.770370	190.665466	-170.981674	64.478096	-75.297699	-290.169373	896.991760	71.770882	-282.310181	891.046387	-116.496590	-296.448792	487.697235	111.860176	-301.918701	475.794250	-124.849075	-288.382874	70.328941	129.957199	-323.869507	72.675125	-9.583907	-151.734497	1359.151489	-9.745497	-211.648727	1169.954590
35	0.3400	-1.837314	-285.246185	893.967102	2.930533	-266.860840	1040.136597	-152.800537	-130.286499	59.753098	190.674942	-170.923157	64.476448	-75.373009	-289.137451	896.955444	71.698372	-281.354919	890.978760	-116.495384	-296.245880	487.713684	111.796219	-301.476166	475.762299	-124.861862	-288.341614	70.324104	129.958527	-323.808411	72.660995	-9.611910	-152.180328	1359.411255	-9.736466	-211.538803	1170.008667
36	0.3500	-1.911268	-284.240814	893.909729	2.913018	-266.061279	1040.103149	-152.800568	-130.243607	59.737377	190.682709	-170.862045	64.475456	-75.448372	-288.091797	896.915527	71.625839	-280.389832	890.903870	-116.491676	-296.018097	487.729340	111.738647	-301.007660	475.725342	-124.874954	-288.300415	70.317375	129.958481	-323.744965	72.646149	-9.645161	-152.599274	1359.669678	-9.729160	-211.398819	1170.059326
37	0.3600	-1.984758	-283.222626	893.847412	2.898636	-265.239502	1040.063110	-152.800537	-130.199966	59.723412	190.689590	-170.796417	64.474594	-75.523254	-287.031738	896.872192	71.553741	-279.413513	890.822571	-116.485924	-295.759064	487.743896	111.687538	-300.510406	475.684113	-124.888687	-288.258881	70.308395	129.958328	-323.677338	72.630486	-9.682686	-152.991440	1359.928467	-9.723272	-211.227600	1170.108643
38	0.3700	-2.057198	-282.190460	893.780579	2.887215	-264.393585	1040.017090	-152.800095	-130.155411	59.711472	190.696533	-170.724472	64.473228	-75.597076	-285.956604	896.825623	71.482689	-278.424347	890.735596	-116.478577	-295.463837	487.757111	111.642372	-299.983063	475.639618	-124.903107	-288.216919	70.296936	129.959442	-323.603882	72.614029	-9.723575	-153.356995	1360.188965	-9.718704	-211.023346	1170.158203
39	0.3800	-2.128029	-281.142761	893.709961	2.878410	-263.521240	1039.965576	-152.799088	-130.110062	59.701790	190.704376	-170.645203	64.470879	-75.669258	-284.865265	896.776001	71.413200	-277.420258	890.643860	-116.470139	-295.129303	487.768890	111.601738	-299.426788	475.593109	-124.918045	-288.174652	70.282928	129.962891	-323.523621	72.596947	-9.766983	-153.696136	1360.453003	-9.715324	-210.785187	1170.210571
40	0.3900	-2.196729	-280.077911	893.636169	2.871987	-262.620544	1039.909302	-152.797363	-130.064682	59.694656	190.713562	-170.558716	64.467247	-75.739250	-283.756836	896.723877	71.345795	-276.399048	890.548462	-116.461006	-294.754883	487.779083	111.563377	-298.846313	475.546326	-124.932945	-288.132843	70.266495	129.969208	-323.436707	72.579597	-9.812148	-154.009109	1360.721558	-9.713199	-210.511612	1170.267090
41	0.4000	-2.262772	-278.994293	893.559998	2.867573	-261.689484	1039.849121	-152.794952	-130.020294	59.690319	190.724365	-170.466415	64.462334	-75.806511	-282.630188	896.669434	71.280968	-275.358429	890.450500	-116.451546	-294.342438	487.787659	111.524361	-298.250183	475.500916	-124.947067	-288.092316	70.247910	129.978195	-323.344360	72.562576	-9.858400	-154.296432	1360.995850	-9.712296	-210.202194	1170.329346
42	0.4100	-2.325736	-277.890381	893.482117	2.864852	-260.726532	1039.785645	-152.791962	-129.978485	59.689079	190.736420	-170.371140	64.456520	-75.870621	-281.484406	896.613159	71.219147	-274.296356	890.351013	-116.442055	-293.896149	487.794708	111.481277	-297.650696	475.458771	-124.959412	-288.054474	70.227646	129.988907	-323.249084	72.546638	-9.905161	-154.558716	1361.276489	-9.713109	-209.856247	1170.398804
43	0.4200	-2.385216	-276.764740	893.403320	2.863382	-259.730530	1039.719971	-152.788666	-129.940750	59.691036	190.748932	-170.277054	64.450615	-75.931145	-280.318634	896.555420	71.160721	-273.210846	890.251160	-116.432770	-293.422150	487.800262	111.430748	-297.062897	475.421722	-124.968948	-288.020538	70.206253	129.999527	-323.154663	72.532692	-9.951936	-154.796921	1361.564209	-9.715574	-209.474075	1170.476563
44	0.4300	-2.441014	-275.616486	893.324219	2.862839	-258.701019	1039.652710	-152.785355	-129.908691	59.696266	190.760818	-170.188950	64.445602	-75.987900	-279.132355	896.496643	71.105873	-272.100555	890.151794	-116.423843	-292.927887	487.804504	111.369789	-296.503265	475.391357	-124.974693	-287.991882	70.184387	130.007721	-323.065399	72.521683	-9.998310	-155.012268	1361.859375	-9.720240	-209.056183	1170.563721
45	0.4400	-2.492861	-274.444916	893.245422	2.862964	-257.637970	1039.584473	-152.782425	-129.883484	59.704655	190.770615	-170.112122	64.442787	-76.040604	-277.925354	896.437073	71.054886	-270.964508	890.053772	-116.415421	-292.421356	487.807587	111.296219	-295.987701	475.369019	-124.975929	-287.969421	70.162659	130.010742	-322.986115	72.514511	-10.043939	-155.206329	1362.161987	-9.727567	-208.603577	1170.660522
46	0.4500	-2.540678	-273.250000	893.167236	2.863436	-256.542419	1039.515869	-152.780304	-129.865845	59.715897	190.776810	-170.051285	64.443382	-76.089180	-276.697662	896.376892	71.007828	-269.802338	889.957581	-116.407608	-291.910614	487.809601	111.209053	-295.529755	475.355499	-124.972290	-287.953644	70.141685	130.005997	-322.921112	72.511887	-10.088521	-155.381088	1362.472290	-9.737847	-208.118057	1170.767700
47	0.4600	-2.584378	-272.032227	893.090027	2.863978	-255.415787	1039.447510	-152.779449	-129.855728	59.729477	190.777969	-170.010162	64.448509	-76.133560	-275.449951	896.316162	70.964798	-268.614471	889.863892	-116.400459	-291.402924	487.810791	111.108582	-295.138641	475.351166	-124.963905	-287.944366	70.121948	129.991272	-322.873810	72.514267	-10.131790	-155.538925	1362.789917	-9.751619	-207.601624	1170.885010
48	0.4700	-2.623899	-270.792603	893.013855	2.864448	-254.260422	1039.379272	-152.780258	-129.852386	59.744686	190.772919	-169.990707	64.458931	-76.173668	-274.183289	896.254944	70.925873	-267.401978	889.772827	-116.394073	-290.904785	487.811249	110.996468	-294.817810	475.355591	-124.951355	-287.940887	70.103828	129.965179	-322.846130	72.521683	-10.173487	-155.682587	1363.114624	-9.769328	-207.056976	1171.012451
49	0.4800	-2.659290	-269.532898	892.938660	2.864830	-253.079102	1039.311646	-152.783218	-129.854507	59.760677	190.761002	-169.992950	64.474937	-76.209595	-272.899139	896.193054	70.891014	-266.166656	889.684326	-116.388451	-290.421539	487.811157	110.875473	-294.564758	475.367950	-124.935669	-287.941803	70.087532	129.927307	-322.838287	72.533806	-10.213340	-155.815231	1363.446167	-9.791327	-206.486877	1171.149780
50	0.4900	-2.690466	-268.255280	892.864258	2.864945	-251.875229	1039.244263	-152.788651	-129.860031	59.776436	190.742157	-170.014755	64.496269	-76.241272	-271.599548	896.130005	70.860336	-264.910980	889.598511	-116.383636	-289.957336	487.810669	110.749107	-294.370880	475.386780	-124.918282	-287.945313	70.073143	129.878387	-322.848389	72.549904	-10.251050	-155.940277	1363.784058	-9.817733	-205.894821	1171.296143
51	0.5000	-2.717481	-266.962494	892.790222	2.864949	-250.652740	1039.177002	-152.796951	-129.866791	59.790947	190.717010	-170.052246	64.522118	-76.268753	-270.286957	896.065613	70.833794	-263.638062	889.514893	-116.379524	-289.515900	487.810028	110.621140	-294.222931	475.410187	-124.900803	-287.949249	70.060631	129.820190	-322.873047	72.568932	-10.286267	-156.061417	1364.128052	-9.848800	-205.284042	1171.451294
52	0.5100	-2.740294	-265.657776	892.716125	2.864841	-249.415604	1039.109619	-152.808472	-129.872498	59.803223	190.686935	-170.099869	64.551041	-76.292046	-268.964081	895.999268	70.811447	-262.351440	889.432983	-116.375946	-289.100372	487.809418	110.495102	-294.104401	475.436127	-124.884911	-287.951630	70.049881	129.755386	-322.907257	72.589615	-10.318590	-156.182632	1364.478027	-9.884287	-204.658524	1171.614746
53	0.5200	-2.758893	-264.344635	892.641357	2.864864	-248.168350	1039.041382	-152.823471	-129.875031	59.812347	190.654007	-170.151367	64.581169	-76.311134	-267.634094	895.930420	70.793343	-261.055176	889.352356	-116.372589	-288.714081	487.809174	110.373886	-293.998260	475.462463	-124.872192	-287.950470	70.040741	129.687241	-322.945221	72.610649	-10.347557	-156.307922	1364.833252	-9.924129	-204.021667	1171.785400
54	0.5300	-2.773139	-263.026947	892.565430	2.865113	-246.915222	1038.972046	-152.842239	-129.872711	59.817600	190.620865	-170.200333	64.610329	-76.325920	-266.300323	895.858398	70.779640	-259.753540	889.272522	-116.368942	-288.360779	487.809723	110.259270	-293.889038	475.487396	-124.863976	-287.944183	70.033066	129.619278	-322.980743	72.630760	-10.372650	-156.441345	1365.193848	-9.967941	-203.377243	1171.963013
55	0.5400	-2.783033	-261.708679	892.487549	2.865871	-245.660812	1038.900757	-152.864914	-129.864624	59.818504	190.590439	-170.241180	64.636307	-76.336418	-264.966309	895.782593	70.770355	-258.451080	889.192566	-116.364349	-288.044952	487.811554	110.151878	-293.765259	475.509613	-124.861183	-287.932037	70.026741	129.554810	-323.008392	72.648972	-10.393312	-156.586929	1365.559570	-10.015004	-202.729080	1172.146973
56	0.5500	-2.788448	-260.393982	892.407104	2.867220	-244.409363	1038.827026	-152.891632	-129.850311	59.814777	190.565765	-170.269455	64.656944	-76.342529	-263.635712	895.702332	70.765640	-257.152222	889.111938	-116.358047	-287.771820	487.815216	110.051071	-293.620819	475.528320	-124.864365	-287.913635	70.021736	129.496704	-323.023590	72.664543	-10.408957	-156.748535	1365.929932	-10.064713	-202.080368	1172.336792
57	0.5600	-2.789377	-259.087067	892.323486	2.869443	-243.165070	1038.750122	-152.922409	-129.830307	59.806503	190.549606	-170.282684	64.670525	-76.344261	-262.312408	895.616943	70.765503	-255.861755	889.030029	-116.349129	-287.547302	487.821198	109.955147	-293.456421	475.543640	-124.873581	-287.889526	70.018097	129.447052	-323.023468	72.677177	-10.419011	-156.929779	1366.305176	-10.116350	-201.434387	1172.532471
58	0.5700	-2.785784	-257.792053	892.236145	2.872566	-241.931931	1038.669434	-152.957138	-129.805573	59.793949	190.544205	-170.280258	64.675812	-76.341583	-261.000031	895.526001	70.770020	-254.584045	888.946289	-116.336693	-287.377747	487.830017	109.861557	-293.279083	475.556519	-124.888588	-287.860626	70.015930	129.407089	-323.006989	72.686958	-10.422930	-157.134048	1366.684692	-10.168965	-200.794144	1172.733398
59	0.5800	-2.777636	-256.513000	892.144470	2.876665	-240.713654	1038.584473	-152.995728	-129.777603	59.777546	190.551010	-170.263596	64.672203	-76.334488	-259.702515	895.428833	70.779221	-253.323532	888.860107	-116.319931	-287.269379	487.842010	109.767303	-293.101746	475.568573	-124.908775	-287.828369	70.015434	129.377106	-322.975006	72.694283	-10.420246	-157.364304	1367.068359	-10.221783	-200.162354	1172.939453
60	0.5900	-2.765117	-255.254059	892.048035	2.881691	-239.513611	1038.494751	-153.037964	-129.748032	59.757893	190.570633	-170.235641	64.659706	-76.323158	-258.423615	895.325073	70.792923	-252.084518	888.770935	-116.298195	-287.228088	487.857391	109.669319	-292.941528	475.581848	-124.933434	-287.794281	70.016830	129.356583	-322.930023	72.699867	-10.410597	-157.623199	1367.455811	-10.273900	-199.541458	1173.150635
61	0.6000	-2.748318	-254.019089	891.946472	2.887561	-238.335007	1038.399658	-153.083542	-129.718674	59.735603	190.602768	-170.200500	64.638985	-76.307686	-257.167145	895.214417	70.811050	-250.871033	888.678528	-116.271118	-287.258636	487.875946	109.564873	-292.817963	475.598999	-124.961754	-287.760193	70.020340	129.344330	-322.875702	72.704559	-10.393766	-157.912964	1367.846436	-10.324751	-198.933594	1173.366577
62	0.6100	-2.727543	-252.811966	891.839600	2.894042	-237.180252	1038.298950	-153.132141	-129.690765	59.711178	190.646225	-170.162796	64.611153	-76.288383	-255.936859	895.096680	70.833298	-249.687088	888.582458	-116.238747	-287.364166	487.897125	109.451912	-292.750702	475.622284	-124.993156	-287.727234	70.026161	129.338898	-322.816681	72.709244	-10.369712	-158.235428	1368.239868	-10.373685	-198.340942	1173.587158
63	0.6200	-2.703117	-251.636475	891.727112	2.900818	-236.051926	1038.192139	-153.183395	-129.665466	59.685085	190.699142	-170.127090	64.577682	-76.265556	-254.736572	894.971680	70.859322	-248.536407	888.482544	-116.201508	-287.546265	487.920074	109.329437	-292.757629	475.653870	-125.027122	-287.696625	70.034470	129.338531	-322.757477	72.714722	-10.338593	-158.592026	1368.635132	-10.420515	-197.764771	1173.812134
64	0.6300	-2.675388	-250.496292	891.609009	2.907519	-234.951828	1038.079102	-153.236801	-129.643082	59.657513	190.759201	-170.097137	64.540123	-76.239563	-253.569962	894.839294	70.888786	-247.422653	888.378723	-116.160332	-287.804291	487.943573	109.197586	-292.853058	475.695099	-125.063583	-287.668701	70.045326	129.341827	-322.702332	72.721687	-10.300788	-158.983810	1369.031372	-10.465067	-197.207062	1174.040649
65	0.6400	-2.644912	-249.394974	891.485168	2.913662	-233.881546	1037.959473	-153.291962	-129.623428	59.628452	190.823807	-170.076019	64.500122	-76.210945	-252.440720	894.699585	70.921120	-246.349213	888.270752	-116.116615	-288.135681	487.966034	109.057762	-293.046692	475.746796	-125.102684	-287.643372	70.058792	129.347534	-322.654877	72.730576	-10.256896	-159.411545	1369.427734	-10.507731	-196.668854	1174.272461
